timestamp,SHC_code,target_temp_min,target_temp_max,current_internal_temp,door_open_count_1h,cumulative_door_open_duration_1h,ambient_dry_bulb_temp,external_relative_humidity,weather_condition,equipment_age_years,compressor_duty_cycle_ratio_2h,defrost_cycle_active,cargo_volume_utilization_ratio,excursion_risk_score
"01:03:2025, 00:00",PIL,2.00,8.00,5.45,7,207,28.35,46.16,Clear,5.39,1.00,0,0.53,0.54
"01:03:2025, 00:21",COL,2.00,8.00,5.24,5,120,28.54,22.68,Clear,5.04,1.00,0,0.58,0.50
"01:03:2025, 00:42",FRO,-30.00,-18.00,-26.09,4,158,26.79,42.19,Clear,5.05,1.00,0,0.59,0.32
"01:03:2025, 01:03",CRT,15.00,25.00,19.89,7,136,28.88,28.59,Clear,7.55,1.00,0,0.65,0.40
"01:03:2025, 01:24",PIL,2.00,8.00,5.47,6,208,28.61,44.58,Clear,5.27,1.00,0,0.54,0.54
"01:03:2025, 01:45",COL,2.00,8.00,6.05,7,311,28.18,32.29,Clear,7.73,1.00,0,0.72,0.57
"01:03:2025, 02:06",FRO,-30.00,-18.00,-26.01,5,144,29.92,34.83,Clear,5.27,1.00,0,0.69,0.32
"01:03:2025, 02:27",CRT,15.00,25.00,19.79,9,204,28.77,26.65,Clear,5.98,1.00,0,0.70,0.41
"01:03:2025, 02:48",PIL,2.00,8.00,5.40,10,156,29.41,50.48,Clear,5.27,1.00,0,0.50,0.53
"01:03:2025, 03:09",COL,2.00,8.00,5.31,3,102,29.99,46.08,Clear,6.19,1.00,0,0.65,0.50
"01:03:2025, 03:30",FRO,-30.00,-18.00,-26.00,4,116,31.08,47.44,Clear,6.75,1.00,0,0.90,0.31
"01:03:2025, 03:51",CRT,15.00,25.00,19.76,5,128,30.62,32.37,Clear,6.24,1.00,0,0.63,0.41
"01:03:2025, 04:12",PIL,2.00,8.00,6.06,10,370,30.90,52.68,Clear,5.12,1.00,0,0.67,0.60
"01:03:2025, 04:33",COL,2.00,8.00,5.52,5,126,31.82,51.45,Clear,6.62,1.00,0,0.64,0.53
"01:03:2025, 04:54",FRO,-30.00,-18.00,-25.96,7,151,31.19,48.99,Clear,4.36,1.00,0,0.42,0.34
"01:03:2025, 05:15",CRT,15.00,25.00,19.90,4,214,31.30,53.12,Clear,5.70,1.00,0,0.47,0.44
"01:03:2025, 05:36",PIL,2.00,8.00,5.46,5,143,30.52,31.40,Clear,5.51,1.00,0,0.64,0.52
"01:03:2025, 05:57",COL,2.00,8.00,5.94,9,286,32.07,26.78,Clear,5.80,1.00,0,0.63,0.59
"01:03:2025, 06:18",FRO,-30.00,-18.00,-25.78,11,304,32.55,34.14,Clear,4.81,1.00,0,0.74,0.34
"01:03:2025, 06:39",CRT,15.00,25.00,19.80,6,127,31.60,23.35,Clear,6.90,1.00,0,0.70,0.40
"01:03:2025, 07:00",PIL,2.00,8.00,5.40,6,100,31.12,44.80,Clear,5.92,1.00,0,0.68,0.51
"01:03:2025, 07:21",COL,2.00,8.00,6.02,10,331,31.64,52.51,Clear,5.26,1.00,0,0.68,0.60
"01:03:2025, 07:42",FRO,-30.00,-18.00,-25.85,10,282,30.74,25.07,Clear,5.69,1.00,0,0.52,0.35
"01:03:2025, 08:03",CRT,15.00,25.00,19.98,13,266,31.67,51.27,Clear,6.04,1.00,0,0.73,0.42
"01:03:2025, 08:24",PIL,2.00,8.00,5.87,9,269,31.67,22.17,Clear,4.98,1.00,0,0.65,0.58
"01:03:2025, 08:45",COL,2.00,8.00,10.26,15,620,31.92,45.50,Clear,4.95,1.00,0,0.55,1.00
"01:03:2025, 09:06",FRO,-30.00,-18.00,-25.74,10,235,31.40,25.09,Clear,7.07,1.00,0,0.53,0.34
"01:03:2025, 09:27",CRT,15.00,25.00,23.91,21,629,31.07,51.44,Clear,6.52,1.00,0,0.68,0.92
"01:03:2025, 09:48",PIL,2.00,8.00,5.81,12,259,31.27,31.27,Clear,4.87,1.00,0,0.64,0.57
"01:03:2025, 10:09",COL,2.00,8.00,5.91,11,326,30.50,22.51,Clear,5.46,1.00,0,0.70,0.58
"01:03:2025, 10:30",FRO,-30.00,-18.00,-25.76,13,420,29.69,27.59,Clear,6.24,1.00,0,0.70,0.35
"01:03:2025, 10:51",CRT,15.00,25.00,20.28,15,560,30.11,42.30,Clear,6.41,1.00,0,0.65,0.48
"01:03:2025, 11:12",PIL,2.00,8.00,6.35,14,576,28.07,48.71,Clear,4.81,1.00,0,0.67,0.65
"01:03:2025, 11:33",COL,2.00,8.00,6.06,13,345,31.73,48.34,Clear,6.63,1.00,0,0.72,0.60
"01:03:2025, 11:54",FRO,-30.00,-18.00,-25.84,11,365,28.49,41.08,Clear,5.38,1.00,0,0.64,0.35
"01:03:2025, 12:15",CRT,15.00,25.00,19.95,17,398,26.87,23.01,Clear,4.85,1.00,0,0.62,0.44
"01:03:2025, 12:36",PIL,2.00,8.00,6.18,18,528,27.49,23.71,Clear,5.74,1.00,0,0.84,0.61
"01:03:2025, 12:57",COL,2.00,8.00,5.61,10,279,28.13,48.24,Clear,5.22,1.00,0,0.51,0.56
"01:03:2025, 13:18",FRO,-30.00,-18.00,-25.78,17,494,26.63,40.12,Clear,5.05,1.00,0,0.72,0.35
"01:03:2025, 13:39",CRT,15.00,25.00,19.87,12,309,27.69,35.85,Clear,4.99,1.00,0,0.54,0.44
"01:03:2025, 14:00",PIL,2.00,8.00,5.26,9,279,23.73,27.72,Clear,4.76,1.00,0,0.49,0.52
"01:03:2025, 14:21",COL,2.00,8.00,5.59,14,338,26.09,34.36,Clear,5.63,1.00,0,0.84,0.52
"01:03:2025, 14:42",FRO,-30.00,-18.00,-25.82,13,469,26.14,22.87,Clear,5.10,1.00,0,0.70,0.35
"01:03:2025, 15:03",CRT,15.00,25.00,20.04,14,552,24.31,37.12,Clear,6.13,1.00,0,0.66,0.45
"01:03:2025, 15:24",PIL,2.00,8.00,5.15,11,183,25.37,24.35,Clear,5.09,1.00,0,0.72,0.48
"01:03:2025, 15:45",COL,2.00,8.00,6.08,14,542,25.77,25.90,Clear,6.35,1.00,0,0.77,0.61
"01:03:2025, 16:06",FRO,-30.00,-18.00,-25.99,9,348,23.96,46.77,Clear,5.14,1.00,0,0.51,0.34
"01:03:2025, 16:27",CRT,15.00,25.00,19.96,12,485,24.39,50.33,Clear,6.83,1.00,0,0.62,0.44
"01:03:2025, 16:48",PIL,2.00,8.00,5.41,15,285,25.45,32.56,Clear,5.61,1.00,0,0.63,0.52
"01:03:2025, 17:09",COL,2.00,8.00,5.36,7,165,24.05,53.37,Clear,7.13,1.00,0,0.74,0.48
"01:03:2025, 17:30",FRO,-30.00,-18.00,-25.88,13,439,24.95,48.12,Clear,6.23,1.00,0,0.60,0.35
"01:03:2025, 17:51",CRT,15.00,25.00,19.91,12,459,24.03,33.58,Clear,6.09,1.00,0,0.76,0.42
"01:03:2025, 18:12",PIL,2.00,8.00,5.61,11,422,23.67,24.80,Clear,5.79,1.00,0,0.75,0.54
"01:03:2025, 18:33",COL,2.00,8.00,5.44,12,350,23.85,47.65,Clear,3.97,1.00,0,0.78,0.51
"01:03:2025, 18:54",FRO,-30.00,-18.00,-25.96,13,375,24.23,46.62,Clear,4.94,1.00,0,0.70,0.33
"01:03:2025, 19:15",CRT,15.00,25.00,19.64,8,246,23.86,29.38,Clear,5.66,1.00,0,0.74,0.40
"01:03:2025, 19:36",PIL,2.00,8.00,6.05,12,552,25.15,37.00,Clear,6.38,1.00,0,0.75,0.61
"01:03:2025, 19:57",COL,2.00,8.00,4.83,9,115,23.57,31.15,Clear,5.48,0.93,0,0.55,0.45
"01:03:2025, 20:18",FRO,-30.00,-18.00,-26.02,9,150,24.78,32.21,Clear,7.11,1.00,0,0.71,0.31
"01:03:2025, 20:39",CRT,15.00,25.00,19.60,7,151,25.82,52.78,Clear,5.56,1.00,0,0.64,0.40
"01:03:2025, 21:00",PIL,2.00,8.00,5.25,6,232,25.09,35.69,Clear,6.61,1.00,0,0.65,0.50
"01:03:2025, 21:21",COL,2.00,8.00,4.89,2,86,25.20,47.38,Clear,5.37,0.94,0,0.53,0.46
"01:03:2025, 21:42",FRO,-30.00,-18.00,-25.83,13,516,24.10,25.75,Clear,6.64,1.00,0,0.68,0.35
"01:03:2025, 22:03",CRT,15.00,25.00,19.48,3,46,26.05,40.21,Clear,6.44,0.93,0,0.68,0.36
"01:03:2025, 22:24",PIL,2.00,8.00,5.10,5,128,26.45,45.23,Clear,6.72,0.99,0,0.63,0.47
"01:03:2025, 22:45",COL,2.00,8.00,5.09,7,181,24.77,34.94,Clear,6.34,1.00,0,0.65,0.48
"01:03:2025, 23:06",FRO,-30.00,-18.00,-25.98,9,231,28.10,50.46,Clear,4.52,1.00,0,0.66,0.33
"01:03:2025, 23:27",CRT,15.00,25.00,19.61,6,123,26.94,38.26,Clear,6.53,1.00,0,0.55,0.41
"01:03:2025, 23:48",PIL,2.00,8.00,5.19,6,141,27.22,28.00,Clear,4.88,1.00,0,0.73,0.48
"02:03:2025, 00:09",COL,2.00,8.00,5.04,2,46,28.35,28.35,Clear,4.98,0.97,0,0.62,0.46
"02:03:2025, 00:30",FRO,-30.00,-18.00,-25.98,10,195,29.38,23.30,Clear,5.66,1.00,0,0.71,0.32
"02:03:2025, 00:51",CRT,15.00,25.00,19.63,5,105,27.85,48.60,Clear,5.05,1.00,0,0.71,0.39
"02:03:2025, 01:12",PIL,2.00,8.00,5.46,3,226,27.97,37.26,Clear,6.73,1.00,0,0.74,0.51
"02:03:2025, 01:33",COL,2.00,8.00,5.24,4,76,29.82,25.54,Clear,6.86,1.00,0,0.47,0.51
"02:03:2025, 01:54",FRO,-30.00,-18.00,-25.89,9,308,28.58,25.95,Clear,4.78,1.00,0,0.69,0.34
"02:03:2025, 02:15",CRT,15.00,25.00,20.00,5,160,31.04,24.87,Clear,7.55,1.00,0,0.75,0.40
"02:03:2025, 02:36",PIL,2.00,8.00,5.83,9,326,29.39,43.32,Clear,4.54,1.00,0,0.52,0.59
"02:03:2025, 02:57",COL,2.00,8.00,5.36,5,109,30.39,25.36,Clear,5.28,1.00,0,0.62,0.51
