timestamp,SHC_code,target_temp_min,target_temp_max,current_internal_temp,door_open_count_1h,cumulative_door_open_duration_1h,ambient_dry_bulb_temp,external_relative_humidity,weather_condition,equipment_age_years,compressor_duty_cycle_ratio_2h,defrost_cycle_active,cargo_volume_utilization_ratio,excursion_risk_score
"09:06:2025, 03:48",PIL,2.0,8.0,6.9,4,149,42.9,98.11,Rainy,2.46,1.0,1,0.72,0.92
"14:02:2026, 05:36",PIL,2.0,8.0,5.44,7,236,22.84,47.58,Clear,8.83,1.0,0,0.42,0.53
"19:07:2025, 23:48",PIL,2.0,8.0,6.53,6,243,40.81,36.8,Clear,2.53,1.0,0,0.37,0.69
"15:09:2025, 22:00",PIL,2.0,8.0,6.41,6,90,39.62,48.03,Clear,10.31,1.0,0,0.44,0.64
"21:09:2025, 10:18",FRO,-30.0,-18.0,-25.3,11,374,41.77,32.57,Clear,8.4,1.0,0,0.75,0.37
"18:06:2025, 04:48",PIL,2.0,8.0,6.36,3,56,44.55,64.13,Cloudy,3.03,1.0,0,0.49,0.64
"24:05:2025, 15:24",PIL,2.0,8.0,6.62,9,361,38.28,51.73,Cloudy,5.31,1.0,0,0.5,0.69
"05:09:2025, 06:09",COL,2.0,8.0,7.14,5,176,45.97,52.38,Clear,9.29,1.0,0,0.75,0.69
"19:04:2025, 09:06",FRO,-30.0,-18.0,-25.85,8,164,30.09,29.09,Clear,8.73,1.0,0,0.43,0.34
"18:07:2025, 12:27",CRT,15.0,25.0,20.47,12,363,41.01,29.44,Clear,3.41,1.0,0,0.38,0.52
"07:01:2026, 10:03",CRT,15.0,25.0,19.95,17,557,21.83,47.92,Cloudy,4.3,1.0,0,0.41,0.47
"21:04:2025, 02:03",CRT,15.0,25.0,19.95,5,144,30.27,42.91,Clear,8.05,1.0,0,0.21,0.45
"06:06:2025, 01:57",COL,2.0,8.0,8.7,12,546,41.43,95.81,Rainy,4.59,1.0,1,0.82,1.0
"05:12:2025, 21:12",PIL,2.0,8.0,4.55,5,243,16.04,40.89,Clear,3.14,0.89,0,0.45,0.46
"06:04:2025, 17:18",FRO,-30.0,-18.0,-25.72,16,507,23.76,69.82,Cloudy,8.78,1.0,0,0.83,0.33
