timestamp,SHC_code,target_temp_min,target_temp_max,current_internal_temp,door_open_count_1h,cumulative_door_open_duration_1h,ambient_dry_bulb_temp,external_relative_humidity,weather_condition,equipment_age_years,compressor_duty_cycle_ratio_2h,defrost_cycle_active,cargo_volume_utilization_ratio,excursion_risk_score
"09:06:2025, 03:48",PIL,2.0,8.0,6.6367224334316495,4,137.28205422028714,43.61922811908132,97.00586581445063,Rainy,2.46,1.0,1,0.72,0.9300490958283558
"14:02:2026, 05:36",PIL,2.0,8.0,5.27293338057832,7,234.80288349697818,23.018725637667053,45.62628597093663,Clear,8.83,1.0,0,0.42,0.5606127151737161
"19:07:2025, 23:48",PIL,2.0,8.0,6.0675370921403635,6,241.8475552846708,40.10437213907967,36.86610747317458,Clear,2.53,1.0,0,0.37,0.6823525340128943
"15:09:2025, 22:00",PIL,2.0,8.0,6.2632842988433435,6,107.87459898518745,40.122032405138185,49.754385550095755,Clear,10.31,1.0,0,0.44,0.6573854598769684
"21:09:2025, 10:18",FRO,-30.0,-18.0,-25.508157628672013,11,357.1058813067123,41.57420439147646,31.939219880140023,Clear,8.4,1.0,0,0.75,0.3783496172806496
"18:06:2025, 04:48",PIL,2.0,8.0,6.485314116051652,3,44.67660405387054,44.17516244401281,64.47169743724376,Cloudy,3.03,1.0,0,0.49,0.6305942944863167
"24:05:2025, 15:24",PIL,2.0,8.0,7.20859248159217,9,369.38375289037134,39.14111615529911,51.91215985726934,Cloudy,5.31,1.0,0,0.5,0.7503246432477959
"05:09:2025, 06:09",COL,2.0,8.0,7.161131532482489,5,179.4908725747707,44.81279645435055,51.13404848451566,Clear,9.29,1.0,0,0.75,0.6418274112780006
"19:04:2025, 09:06",FRO,-30.0,-18.0,-26.258108622270985,8,158.04062862936118,29.637674345444903,28.502422828925344,Clear,8.73,1.0,0,0.43,0.26947704008402723
"18:07:2025, 12:27",CRT,15.0,25.0,20.728412632912224,12,372.4964633885769,41.42776945812703,28.881209661355577,Clear,3.41,1.0,0,0.38,0.5425755515942636
